Id,Remark,Name,Icon,Desc,Type,TypeNum,备注,Synthesis,MaxNum,Shop,CurrencyType,Value,PurchaseRestriction,Quality,,,,
220007,纯棉府绸,Cottonpoplin,CottonpoplinIcon,CottonpoplinText,12,,,,999,,1,800,1+5,4,,,,
220008,欧根纱,Organza,OrganzaIcon,OrganzaText,12,,,,999,,1,1000,1+5,5,,,,
220009,针织摇粒绒,Fleeceknit,FleeceknitIcon,FleeceknitText,12,,,,999,,1,1000,1+5,5,,,,
300000,道具1,Item01,Item01Icon,Item01Text,14,,,,999,,1,200,0+1,1,,,,
300001,道具2,Item02,Item02Icon,Item02Text,14,,,,999,,1,200,0+1,1,,,,
300002,道具3,Item03,Item03Icon,Item03Text,14,,,,999,,1,400,0+1,2,,,,
300003,道具4,Item04,Item04Icon,Item04Text,14,,,,999,,1,400,0+1,2,,,,
300004,道具5,Item05,Item05Icon,Item05Text,14,,,,999,,1,600,0+1,3,,,,
300005,道具6,Item06,Item06Icon,Item06Text,14,,,,999,,1,600,0+1,3,,,,
300006,道具7,Item07,Item07Icon,Item07Text,14,,,,999,,1,800,0+1,4,,,,
300007,道具8,Item08,Item08Icon,Item08Text,14,,,,999,,1,800,0+1,4,,,,
300008,道具9,Item09,Item09Icon,Item09Text,14,,,,999,,1,1000,0+1,5,,,,
300009,道具10,Item10,Item10Icon,Item10Text,14,,,,999,,1,1000,0+1,5,,,,
130000,初级鱼饵,PrimaryBait,PrimaryBaitIcon,PrimaryBaitText,15,,,,999,7,1,200,1+0,1,,,,
130001,中级鱼饵,IntermediateBait,IntermediateBaitIcon,IntermediateBaitText,15,,,,999,7,1,400,1+0,2,,,,
130002,高级鱼饵,AdvancedBait,AdvancedBaitIcon,AdvancedBaitText,15,,,,999,7,1,600,1+0,3,,,,
140000,竹鱼竿,BambooFishingRod,BambooFishingRodIcon,BambooFishingRodText,16,,,,999,7,1,200,1+0,1,,,,
140001,玻璃纤维竿,FiberglassRod,FiberglassRodIcon,FiberglassRodText,16,,,,999,7,1,400,0+1,2,,,,
140002,铱金鱼竿,IridiumFishingRod,IridiumFishingRodIcon,IridiumFishingRodText,16,,,,999,7,1,600,0+1,3,,,,
140003,高级铱金鱼竿,AdvancedIridiumFishingRod,AdvancedIridiumFishingRodIcon,AdvancedIridiumFishingRodText,16,,,,999,7,1,800,0+1,4,,,,
150000,情趣道具1,SexItem01,SexItem01Icon,SexItem01Text,17,,,,999,8,1,200,1+999,1,,,,
150001,情趣道具2,SexItem02,SexItem02Icon,SexItem02Text,17,,,,999,8,1,200,1+999,1,,,,
150002,情趣道具3,SexItem03,SexItem03Icon,SexItem03Text,17,,,,999,8,1,400,0+1,2,,,,
150003,情趣道具4,SexItem04,SexItem04Icon,SexItem04Text,17,,,,999,8,1,400,0+1,2,,,,
150004,情趣道具5,SexItem05,SexItem05Icon,SexItem05Text,17,,,,999,8,1,600,0+1,3,,,,
150005,情趣道具6,SexItem06,SexItem06Icon,SexItem06Text,17,,,,999,8,1,600,0+1,3,,,,
150006,情趣道具7,SexItem07,SexItem07Icon,SexItem07Text,17,,,,999,8,1,800,0+1,4,,,,
150007,情趣道具8,SexItem08,SexItem08Icon,SexItem08Text,17,,,,999,8,1,800,0+1,4,,,,
150008,情趣道具9,SexItem09,SexItem09Icon,SexItem09Text,17,,,,999,8,1,1000,0+1,5,,,,
150009,情趣道具10,SexItem10,SexItem10Icon,SexItem10Text,17,,,,999,8,1,1000,0+1,5,,,,
